Flat Size,Location,Builder's Rating,Area Type,Neighborhood Tier,Crime Rate,Floor Number,Age of Property,Nearby Amenities,Green Cover,Market Demand,Security Features,RERA-Approved,Urban Integration Index,Flat Price (in Lakhs)
2BHK,Delhi,C,Residential,High-End,Low,20,46,Low,0.16,0.83,Advanced,1,0.62,151.3
2BHK,Kolkata,C,Residential,Affordable,Medium,10,2,Low,0.8,1.1,Basic,1,0.51,67.38
1BHK,Kolkata,C,Residential,High-End,Low,12,25,Medium,0.81,1.22,Advanced,1,0.71,103.03
2BHK,Kolkata,A,Commercial,High-End,Low,11,26,Low,0.35,1.44,Basic,1,0.8,275.98
2BHK,Delhi,C,Residential,Affordable,Medium,5,12,Medium,0.19,0.81,Basic,0,0.32,69.99
3BHK,Delhi,C,Residential,Mid-Range,Medium,16,13,High,0.3,1.19,Basic,1,0.31,218.48
1BHK,Chennai,C,Residential,High-End,Medium,19,6,Medium,0.88,1.16,Advanced,1,0.25,117.29
1BHK,Mumbai,B,Residential,Mid-Range,Low,8,8,Medium,0.84,1.35,Basic,0,0.63,184.76
2BHK,Kolkata,C,Residential,High-End,Low,14,39,Medium,0.86,0.84,Basic,1,0.78,97.76
4BHK,Mumbai,C,Commercial,Affordable,Medium,20,24,Low,0.4,0.98,Basic,0,0.81,253.0
2BHK,Delhi,B,Residential,Affordable,High,17,16,High,0.58,1.32,Basic,0,0.41,165.41
1BHK,Bangalore,B,Residential,Affordable,Medium,20,34,High,0.45,0.93,Advanced,1,0.3,59.31
4BHK,Bangalore,D,Residential,Mid-Range,Low,6,10,Medium,0.49,0.96,Basic,1,0.21,204.48
3BHK,Mumbai,C,Residential,Affordable,Medium,6,43,Medium,0.15,1.28,Premium,1,0.79,164.71
1BHK,Kolkata,D,Residential,Affordable,Low,16,4,Medium,0.87,1.12,Basic,1,0.85,41.0
2BHK,Delhi,A,Residential,Affordable,Medium,17,50,Low,0.2,0.84,Basic,1,0.67,115.63
3BHK,Kolkata,C,Residential,Mid-Range,Low,20,17,High,0.46,0.94,Basic,0,0.43,103.55
2BHK,Hyderabad,C,Residential,Affordable,Low,5,20,Medium,0.47,0.82,Premium,1,0.52,63.6
2BHK,Bangalore,C,Residential,Affordable,Low,10,3,Medium,0.32,0.96,Basic,0,0.57,82.24
3BHK,Kolkata,D,Residential,Mid-Range,Medium,2,42,Medium,0.14,0.88,Advanced,1,0.29,78.17
2BHK,Chennai,C,Residential,High-End,Low,11,24,Medium,0.86,1.07,Basic,1,0.6,156.16
2BHK,Bangalore,B,Residential,Mid-Range,Medium,7,28,Low,0.26,1.39,Advanced,0,0.82,187.98
2BHK,Mumbai,A,Industrial,Mid-Range,Medium,4,23,High,0.45,1.37,Basic,0,0.72,227.82
4BHK,Chennai,C,Residential,High-End,Low,11,35,Low,0.66,1.26,Basic,1,0.41,371.8
2BHK,Bangalore,C,Residential,High-End,Low,14,45,Medium,0.21,1.35,Premium,1,0.31,227.18
4BHK,Mumbai,B,Residential,Affordable,Medium,5,5,Low,0.81,0.87,Basic,0,0.63,232.03
1BHK,Mumbai,A,Residential,Mid-Range,Medium,11,17,Medium,0.49,0.94,Basic,0,0.26,129.39
3BHK,Chennai,A,Residential,Mid-Range,Medium,1,11,Medium,0.38,1.28,Basic,0,0.55,241.04
4BHK,Kolkata,B,Residential,Mid-Range,Medium,20,24,High,0.53,0.86,Advanced,1,0.5,152.47
3BHK,Chennai,B,Commercial,Mid-Range,Low,13,28,Medium,0.5,1.06,Premium,0,0.87,181.72
2BHK,Chennai,B,Residential,Mid-Range,Low,8,44,Medium,0.75,1.43,Basic,1,0.74,166.26
1BHK,Delhi,C,Residential,Affordable,Medium,12,21,High,0.65,0.87,Advanced,1,0.2,64.23
2BHK,Kolkata,B,Residential,Affordable,Low,6,21,Medium,0.48,1.3,Basic,1,0.48,90.47
3BHK,Mumbai,A,Commercial,High-End,High,11,4,Medium,0.25,1.03,Advanced,0,0.26,482.21
2BHK,Kolkata,B,Residential,Affordable,Medium,20,50,Low,0.14,0.94,Basic,0,0.42,52.8
3BHK,Mumbai,C,Residential,Mid-Range,Medium,9,31,Medium,0.29,1.1,Premium,1,0.44,198.41
4BHK,Bangalore,C,Residential,Mid-Range,Medium,13,38,Medium,0.14,1.24,Premium,1,0.58,270.44
2BHK,Chennai,A,Industrial,Mid-Range,Medium,1,8,Medium,0.15,1.38,Basic,1,0.21,147.78
1BHK,Chennai,B,Commercial,Mid-Range,High,16,23,Low,0.72,1.22,Premium,0,0.49,128.92
2BHK,Delhi,B,Residential,Mid-Range,Low,19,7,Medium,0.84,0.88,Basic,1,0.87,173.03
3BHK,Mumbai,C,Commercial,Affordable,Medium,5,44,High,0.39,1.12,Basic,1,0.86,202.85
2BHK,Mumbai,C,Residential,Affordable,Medium,19,26,Low,0.67,0.86,Advanced,1,0.87,95.44
2BHK,Hyderabad,D,Residential,Affordable,Medium,3,5,Low,0.2,1.3,Advanced,1,0.84,80.45
3BHK,Hyderabad,A,Commercial,High-End,Medium,19,41,Low,0.85,1.33,Basic,1,0.85,493.54
2BHK,Chennai,B,Industrial,Mid-Range,Medium,7,33,High,0.54,1.2,Basic,1,0.53,105.17
3BHK,Bangalore,B,Residential,Mid-Range,Medium,15,31,Medium,0.39,1.43,Basic,0,0.5,257.05
2BHK,Hyderabad,C,Residential,Mid-Range,Medium,14,34,Medium,0.45,1.49,Advanced,1,0.55,172.57
1BHK,Hyderabad,B,Residential,Affordable,Low,13,17,Medium,0.21,1.33,Basic,0,0.74,80.89
2BHK,Hyderabad,B,Residential,Mid-Range,Medium,14,10,High,0.22,1.09,Advanced,1,0.2,145.21
1BHK,Kolkata,C,Residential,High-End,Low,16,27,Medium,0.75,1.06,Basic,1,0.55,76.76
2BHK,Kolkata,B,Residential,High-End,Medium,20,8,Low,0.53,1.0,Basic,1,0.26,125.82
1BHK,Bangalore,D,Residential,Mid-Range,Medium,4,4,High,0.65,1.24,Advanced,0,0.38,94.71
3BHK,Chennai,B,Residential,Affordable,Medium,20,31,High,0.13,1.4,Advanced,1,0.4,127.33
1BHK,Delhi,B,Residential,Mid-Range,Low,12,5,Medium,0.67,1.17,Advanced,1,0.84,150.77
4BHK,Kolkata,C,Industrial,Affordable,Medium,3,12,Medium,0.69,1.36,Basic,1,0.9,119.01
3BHK,Hyderabad,B,Commercial,Affordable,Low,4,42,Medium,0.84,1.4,Advanced,1,0.64,220.45
4BHK,Bangalore,C,Residential,High-End,Medium,13,36,Medium,0.51,0.94,Basic,0,0.56,332.02
1BHK,Hyderabad,B,Residential,Affordable,Medium,4,37,Medium,0.11,0.99,Premium,1,0.33,55.62
4BHK,Kolkata,D,Commercial,Mid-Range,Low,18,45,Low,0.47,0.85,Premium,0,0.77,149.03
4BHK,Mumbai,B,Residential,Mid-Range,High,12,50,High,0.5,1.39,Premium,0,0.36,539.73
3BHK,Bangalore,A,Residential,Affordable,Low,3,17,Low,0.16,1.42,Advanced,0,0.26,215.38
3BHK,Bangalore,D,Residential,Mid-Range,Medium,19,46,High,0.14,1.38,Basic,1,0.33,200.15
2BHK,Bangalore,A,Commercial,Mid-Range,Medium,16,28,Medium,0.32,1.23,Premium,1,0.5,236.68
4BHK,Bangalore,D,Residential,Affordable,Low,5,1,High,0.43,1.14,Advanced,0,0.55,162.67
2BHK,Bangalore,C,Commercial,Mid-Range,Medium,12,18,Low,0.49,0.96,Basic,1,0.38,154.84
3BHK,Delhi,C,Residential,High-End,Medium,20,48,Low,0.62,1.25,Advanced,0,0.81,313.65
3BHK,Chennai,D,Residential,Affordable,Medium,12,1,Medium,0.54,0.9,Premium,1,0.49,77.28
4BHK,Kolkata,C,Residential,High-End,Low,20,33,Medium,0.7,1.46,Basic,1,0.56,347.4
2BHK,Mumbai,C,Residential,Affordable,Medium,9,49,Low,0.8,1.47,Premium,1,0.28,174.94
3BHK,Hyderabad,A,Residential,Affordable,Low,12,29,Medium,0.48,1.31,Advanced,1,0.62,179.03
3BHK,Bangalore,C,Residential,High-End,Low,9,40,Medium,0.77,1.42,Premium,1,0.74,370.38
2BHK,Mumbai,B,Residential,Mid-Range,Low,11,46,Low,0.86,0.94,Advanced,0,0.76,198.26
4BHK,Bangalore,A,Residential,Affordable,Medium,16,9,High,0.32,1.12,Basic,0,0.3,251.36
3BHK,Hyderabad,C,Residential,Affordable,Medium,20,11,Low,0.49,1.31,Basic,0,0.35,136.62
3BHK,Chennai,B,Residential,High-End,Medium,16,36,Medium,0.28,1.34,Premium,0,0.32,256.04
2BHK,Delhi,B,Residential,Mid-Range,Medium,5,23,Medium,0.63,1.09,Basic,0,0.31,208.35
2BHK,Kolkata,B,Residential,High-End,Medium,18,46,Medium,0.55,1.22,Advanced,0,0.4,165.45
2BHK,Delhi,C,Residential,High-End,Medium,15,2,High,0.52,1.23,Advanced,1,0.26,258.52
4BHK,Delhi,B,Residential,Affordable,Low,18,37,High,0.42,1.21,Basic,1,0.61,258.23
2BHK,Mumbai,C,Residential,Affordable,High,20,12,Medium,0.37,0.86,Advanced,0,0.53,86.12
3BHK,Kolkata,B,Commercial,Affordable,Medium,1,35,Medium,0.24,1.13,Basic,1,0.67,111.37
2BHK,Delhi,C,Residential,Affordable,Medium,18,28,Medium,0.7,1.02,Advanced,1,0.85,106.79
1BHK,Hyderabad,D,Commercial,Mid-Range,Medium,4,5,Low,0.48,1.04,Basic,1,0.37,85.42
4BHK,Hyderabad,C,Commercial,Affordable,Low,10,32,Medium,0.11,1.34,Basic,0,0.24,215.77
3BHK,Chennai,B,Commercial,High-End,Medium,14,3,High,0.55,1.02,Basic,0,0.89,286.98
2BHK,Mumbai,D,Commercial,Affordable,Medium,12,32,High,0.61,0.88,Advanced,1,0.36,102.52
1BHK,Kolkata,D,Residential,High-End,Low,6,24,Medium,0.53,1.36,Premium,1,0.2,88.99
3BHK,Hyderabad,A,Residential,Affordable,Medium,19,41,Low,0.33,1.36,Basic,1,0.87,198.26
1BHK,Chennai,C,Commercial,High-End,High,17,47,Medium,0.68,0.9,Basic,1,0.68,95.11
3BHK,Bangalore,C,Residential,Mid-Range,Medium,13,31,High,0.41,1.37,Basic,1,0.38,242.77
3BHK,Kolkata,B,Residential,Mid-Range,Low,8,44,Low,0.88,1.11,Advanced,1,0.28,153.78
3BHK,Hyderabad,C,Residential,Mid-Range,Medium,17,23,High,0.51,1.32,Basic,0,0.74,208.39
3BHK,Mumbai,C,Residential,Affordable,Medium,18,37,Medium,0.56,1.39,Advanced,1,0.67,206.8
3BHK,Kolkata,C,Residential,Affordable,Medium,1,35,Medium,0.44,0.98,Basic,1,0.86,67.81
2BHK,Delhi,B,Residential,Mid-Range,Medium,19,27,Low,0.82,0.9,Advanced,1,0.24,167.38
2BHK,Mumbai,C,Commercial,High-End,High,19,27,Medium,0.11,1.45,Advanced,0,0.6,336.07
1BHK,Kolkata,A,Residential,High-End,Low,1,4,High,0.31,1.29,Basic,1,0.77,138.66
1BHK,Chennai,C,Residential,Affordable,Medium,20,13,Low,0.47,0.96,Basic,1,0.56,42.25
2BHK,Hyderabad,C,Residential,Mid-Range,High,18,30,Medium,0.33,1.23,Basic,1,0.81,139.33
2BHK,Kolkata,C,Residential,Affordable,Medium,9,39,Low,0.19,1.18,Premium,1,0.81,54.58
3BHK,Delhi,B,Residential,Mid-Range,High,3,31,Medium,0.55,1.31,Premium,1,0.85,313.25
1BHK,Hyderabad,B,Commercial,High-End,Medium,18,50,High,0.62,1.11,Advanced,1,0.79,165.99
3BHK,Chennai,C,Residential,Mid-Range,High,9,4,High,0.79,1.41,Premium,1,0.47,204.99
3BHK,Kolkata,B,Residential,Affordable,Low,20,24,Low,0.44,0.85,Premium,0,0.48,68.49
3BHK,Bangalore,C,Residential,Mid-Range,Medium,17,25,Medium,0.89,1.0,Advanced,1,0.55,198.75
1BHK,Chennai,C,Commercial,High-End,Medium,19,33,Medium,0.1,1.5,Advanced,0,0.37,154.02
3BHK,Mumbai,D,Commercial,Affordable,Medium,20,19,High,0.29,0.98,Advanced,0,0.55,138.3
2BHK,Bangalore,D,Residential,Mid-Range,Medium,6,13,High,0.86,1.35,Basic,0,0.86,176.88
2BHK,Mumbai,D,Commercial,Affordable,High,7,22,Low,0.55,0.99,Advanced,1,0.3,126.8
3BHK,Delhi,C,Residential,Mid-Range,Low,13,49,High,0.48,1.15,Basic,1,0.3,203.78
4BHK,Kolkata,C,Residential,High-End,Medium,16,24,Medium,0.11,1.09,Advanced,0,0.48,227.43
3BHK,Bangalore,C,Residential,Mid-Range,Medium,8,41,Low,0.49,1.45,Premium,0,0.43,241.74
3BHK,Chennai,C,Industrial,Mid-Range,Low,20,45,High,0.74,1.46,Basic,1,0.89,144.36
2BHK,Delhi,D,Residential,Affordable,Medium,12,26,Medium,0.45,0.97,Basic,0,0.64,84.04
3BHK,Chennai,C,Residential,Mid-Range,Medium,8,10,Medium,0.33,1.36,Basic,1,0.58,151.09
3BHK,Kolkata,A,Residential,Mid-Range,High,8,37,Medium,0.59,1.0,Advanced,1,0.2,157.34
2BHK,Mumbai,C,Residential,Mid-Range,High,20,22,Medium,0.82,1.05,Advanced,1,0.48,179.54
2BHK,Hyderabad,C,Commercial,Affordable,Low,13,3,Low,0.34,1.27,Basic,0,0.48,114.16
3BHK,Delhi,D,Residential,Affordable,Medium,13,4,High,0.46,1.13,Premium,0,0.69,124.99
3BHK,Kolkata,D,Residential,High-End,High,2,36,Low,0.72,0.85,Premium,1,0.6,120.03
4BHK,Delhi,C,Residential,Affordable,Low,8,6,Low,0.13,1.0,Advanced,0,0.84,193.71
1BHK,Bangalore,D,Commercial,Mid-Range,Medium,12,14,Medium,0.66,1.32,Basic,1,0.33,131.89
3BHK,Delhi,C,Residential,Affordable,Low,3,21,High,0.64,1.21,Advanced,1,0.2,165.49
3BHK,Chennai,B,Residential,Mid-Range,Medium,12,15,Low,0.3,1.47,Basic,1,0.56,212.55
2BHK,Kolkata,C,Residential,Mid-Range,Medium,4,33,High,0.73,1.05,Basic,1,0.4,88.8
1BHK,Bangalore,C,Commercial,Affordable,Low,19,11,Medium,0.23,1.1,Basic,1,0.67,66.63
1BHK,Mumbai,C,Residential,High-End,Low,5,9,High,0.31,1.0,Advanced,1,0.23,138.05
1BHK,Delhi,C,Industrial,High-End,High,9,13,Low,0.69,1.41,Advanced,0,0.82,159.54
2BHK,Mumbai,B,Industrial,Affordable,Medium,2,35,Medium,0.62,0.96,Advanced,1,0.47,101.44
4BHK,Hyderabad,C,Residential,High-End,Medium,14,24,Low,0.26,1.22,Advanced,1,0.36,382.59
2BHK,Mumbai,B,Residential,High-End,Low,14,5,Low,0.77,1.12,Basic,1,0.78,293.07
4BHK,Chennai,D,Residential,Affordable,Low,12,32,Medium,0.87,0.99,Basic,0,0.67,129.3
1BHK,Kolkata,B,Residential,Mid-Range,Medium,20,43,Medium,0.5,0.83,Basic,1,0.42,54.03
3BHK,Mumbai,D,Residential,Affordable,Low,18,24,High,0.46,1.47,Premium,1,0.48,190.0
2BHK,Delhi,C,Residential,Affordable,Low,4,39,High,0.89,1.05,Basic,1,0.36,121.08
3BHK,Bangalore,C,Commercial,Mid-Range,Low,3,30,High,0.76,0.83,Basic,1,0.3,175.22
3BHK,Hyderabad,B,Residential,Mid-Range,Low,16,18,Low,0.31,1.11,Premium,1,0.75,192.5
1BHK,Kolkata,B,Residential,High-End,Low,15,6,Medium,0.44,1.36,Basic,0,0.87,119.55
1BHK,Kolkata,B,Residential,Mid-Range,Medium,18,45,High,0.28,1.47,Basic,1,0.44,88.5
4BHK,Chennai,A,Industrial,Affordable,Medium,9,23,High,0.76,0.9,Advanced,1,0.69,139.38
2BHK,Delhi,C,Residential,Affordable,Low,10,49,Low,0.25,1.2,Basic,1,0.66,103.91
2BHK,Hyderabad,C,Residential,Mid-Range,Medium,3,42,Low,0.4,1.38,Advanced,1,0.47,137.42
1BHK,Hyderabad,B,Residential,Mid-Range,High,4,15,Medium,0.85,1.12,Basic,1,0.34,102.48
2BHK,Hyderabad,C,Commercial,Mid-Range,Medium,18,39,High,0.69,1.23,Advanced,1,0.37,183.08
2BHK,Delhi,B,Commercial,Affordable,High,17,43,Low,0.29,1.43,Basic,1,0.48,179.67
2BHK,Chennai,C,Residential,Affordable,High,16,2,Medium,0.85,1.3,Premium,1,0.76,84.63
2BHK,Bangalore,C,Residential,Affordable,Low,13,34,Medium,0.17,1.1,Advanced,1,0.32,89.37
3BHK,Kolkata,B,Residential,Affordable,Medium,5,16,Low,0.43,1.43,Advanced,1,0.22,125.94
2BHK,Mumbai,D,Residential,Affordable,Medium,18,14,Medium,0.15,0.91,Basic,1,0.41,72.32
3BHK,Chennai,C,Commercial,Affordable,Low,19,1,Medium,0.26,1.35,Basic,1,0.3,133.63
2BHK,Bangalore,B,Residential,Mid-Range,Medium,20,40,High,0.5,1.22,Premium,1,0.62,196.51
2BHK,Chennai,C,Commercial,Affordable,High,17,42,Medium,0.29,1.4,Advanced,0,0.69,99.87
4BHK,Hyderabad,C,Commercial,Mid-Range,Low,8,19,Medium,0.29,0.88,Basic,1,0.6,223.05
3BHK,Hyderabad,B,Residential,Affordable,Medium,11,8,Medium,0.89,1.33,Premium,1,0.35,187.24
2BHK,Hyderabad,C,Residential,Mid-Range,Medium,6,41,Medium,0.48,1.04,Advanced,1,0.74,110.88
1BHK,Kolkata,D,Residential,Mid-Range,Low,1,47,Medium,0.13,1.49,Premium,1,0.24,60.61
1BHK,Hyderabad,D,Commercial,Mid-Range,Medium,6,24,Low,0.73,1.2,Basic,0,0.84,91.54
2BHK,Bangalore,D,Residential,Affordable,Low,18,25,Low,0.31,1.14,Basic,1,0.3,86.2
2BHK,Delhi,A,Residential,Affordable,Medium,12,44,High,0.44,0.96,Basic,1,0.34,143.03
3BHK,Chennai,C,Residential,Affordable,Medium,19,25,High,0.75,1.45,Premium,1,0.22,128.02
1BHK,Kolkata,C,Residential,Affordable,Medium,5,39,Medium,0.57,0.84,Basic,0,0.87,30.33
3BHK,Delhi,C,Residential,High-End,Medium,2,46,Medium,0.42,1.42,Basic,0,0.38,385.15
4BHK,Mumbai,C,Residential,Mid-Range,Medium,8,38,Medium,0.32,1.44,Premium,0,0.63,432.04
2BHK,Chennai,C,Residential,Affordable,Low,12,32,Medium,0.56,1.5,Advanced,0,0.75,102.39
3BHK,Chennai,B,Commercial,High-End,Medium,8,11,High,0.73,1.31,Advanced,1,0.82,380.05
3BHK,Delhi,C,Commercial,High-End,Low,7,24,Medium,0.21,0.92,Premium,1,0.85,288.01
2BHK,Chennai,D,Residential,Mid-Range,Medium,19,46,High,0.31,1.27,Advanced,1,0.49,107.58
1BHK,Chennai,B,Residential,Affordable,High,1,38,High,0.86,1.03,Basic,0,0.31,61.4
4BHK,Bangalore,C,Residential,Mid-Range,Low,1,39,Medium,0.64,1.36,Advanced,1,0.29,327.43
3BHK,Hyderabad,B,Residential,Mid-Range,Low,20,34,High,0.27,0.94,Advanced,0,0.25,169.21
2BHK,Mumbai,C,Residential,Affordable,Medium,9,27,Low,0.54,0.9,Advanced,0,0.88,108.12
3BHK,Hyderabad,D,Commercial,Mid-Range,High,20,15,High,0.62,1.01,Basic,0,0.53,176.17
2BHK,Delhi,C,Residential,Affordable,High,13,22,Medium,0.24,0.92,Advanced,0,0.45,82.94
3BHK,Delhi,A,Residential,High-End,High,6,41,Medium,0.86,1.16,Basic,1,0.38,506.36
3BHK,Bangalore,B,Commercial,Affordable,Medium,15,33,Low,0.47,1.22,Basic,0,0.68,188.48
1BHK,Mumbai,D,Residential,Affordable,Medium,8,41,Low,0.82,1.1,Premium,1,0.53,72.79
1BHK,Chennai,D,Residential,Mid-Range,Medium,10,29,Low,0.19,1.44,Advanced,0,0.63,67.93
3BHK,Delhi,B,Commercial,Mid-Range,High,13,48,Low,0.54,0.92,Basic,0,0.23,248.54
1BHK,Mumbai,A,Residential,Mid-Range,Medium,5,5,Low,0.22,0.84,Basic,1,0.63,117.1
3BHK,Delhi,B,Residential,Mid-Range,High,1,34,Low,0.17,1.02,Basic,0,0.39,213.96
2BHK,Chennai,C,Residential,Affordable,Low,4,24,Low,0.13,1.45,Premium,1,0.61,87.54
2BHK,Delhi,D,Residential,High-End,Medium,13,16,Low,0.76,1.15,Basic,0,0.62,205.44
2BHK,Chennai,B,Commercial,Affordable,High,1,25,High,0.12,0.94,Premium,0,0.5,89.03
1BHK,Kolkata,B,Residential,Mid-Range,Low,11,39,Medium,0.49,0.9,Advanced,1,0.39,55.3
2BHK,Bangalore,B,Commercial,Affordable,Medium,9,23,Medium,0.37,0.82,Advanced,1,0.69,99.39
1BHK,Mumbai,B,Residential,Affordable,High,1,27,Medium,0.9,1.11,Basic,1,0.4,118.69
2BHK,Kolkata,B,Residential,High-End,Medium,20,2,Medium,0.37,1.34,Basic,1,0.52,180.53
4BHK,Delhi,C,Commercial,Affordable,Low,14,46,Low,0.13,1.13,Advanced,0,0.56,257.47
3BHK,Kolkata,D,Residential,Affordable,Medium,19,21,Medium,0.81,1.44,Premium,1,0.79,91.43
2BHK,Delhi,C,Residential,Affordable,Medium,3,8,Medium,0.79,1.22,Advanced,1,0.47,137.0
3BHK,Kolkata,C,Commercial,High-End,Medium,7,29,Medium,0.79,1.43,Basic,1,0.37,256.87
1BHK,Delhi,D,Residential,Affordable,Medium,14,19,Medium,0.48,0.85,Basic,1,0.6,53.01
3BHK,Mumbai,C,Residential,Affordable,Medium,8,46,Medium,0.71,1.01,Basic,0,0.88,150.32
2BHK,Chennai,B,Commercial,Mid-Range,Medium,2,47,Low,0.22,1.23,Basic,0,0.39,161.42
3BHK,Delhi,B,Residential,Affordable,Medium,14,50,Medium,0.21,1.44,Basic,1,0.24,224.84
2BHK,Mumbai,A,Residential,Mid-Range,Medium,2,26,Low,0.75,1.07,Basic,1,0.63,270.23
3BHK,Hyderabad,B,Residential,Mid-Range,Medium,5,35,High,0.12,1.15,Basic,0,0.33,177.86
2BHK,Hyderabad,A,Residential,Affordable,Medium,19,43,Low,0.78,1.07,Basic,1,0.44,132.71
2BHK,Chennai,C,Residential,High-End,Low,9,21,Medium,0.66,1.39,Advanced,0,0.41,175.33
1BHK,Mumbai,C,Residential,Affordable,Medium,6,45,Medium,0.2,0.97,Advanced,1,0.63,59.06
3BHK,Kolkata,C,Residential,Mid-Range,Medium,8,23,Low,0.55,1.34,Basic,1,0.28,130.99
2BHK,Chennai,B,Industrial,Affordable,Medium,10,18,Low,0.48,1.48,Basic,1,0.84,100.75
1BHK,Bangalore,B,Commercial,High-End,Medium,14,19,Medium,0.21,0.86,Premium,0,0.76,132.12
2BHK,Chennai,B,Industrial,Affordable,Medium,9,3,Medium,0.24,1.04,Premium,1,0.9,59.08
2BHK,Kolkata,C,Residential,Affordable,Low,13,35,High,0.12,1.1,Basic,0,0.29,52.72
2BHK,Delhi,D,Industrial,Affordable,Low,3,6,Low,0.34,0.91,Advanced,1,0.86,58.14
3BHK,Chennai,B,Residential,Affordable,Low,15,34,Medium,0.81,0.95,Basic,1,0.38,106.91
2BHK,Delhi,B,Residential,High-End,High,3,48,High,0.59,1.24,Basic,1,0.43,282.54
3BHK,Bangalore,B,Residential,Mid-Range,Low,9,30,Low,0.25,1.33,Basic,1,0.31,231.34
1BHK,Hyderabad,D,Residential,Affordable,Low,4,34,Medium,0.39,1.46,Premium,0,0.43,58.62
2BHK,Delhi,C,Commercial,High-End,Low,15,46,High,0.61,0.86,Advanced,1,0.4,219.33
2BHK,Mumbai,C,Industrial,Affordable,High,2,13,Medium,0.87,1.41,Advanced,0,0.21,147.5
3BHK,Delhi,D,Residential,Affordable,High,17,25,Medium,0.35,1.37,Basic,1,0.33,158.83
3BHK,Hyderabad,B,Residential,Affordable,Medium,10,17,Medium,0.27,0.95,Basic,1,0.41,115.26
1BHK,Mumbai,A,Residential,High-End,High,14,33,High,0.18,1.1,Basic,1,0.34,196.67
3BHK,Hyderabad,C,Residential,Mid-Range,High,2,17,Medium,0.42,1.27,Basic,0,0.84,186.47
3BHK,Hyderabad,A,Residential,Affordable,Medium,3,6,Low,0.66,1.14,Advanced,0,0.31,178.1
1BHK,Mumbai,D,Industrial,Mid-Range,High,18,22,Medium,0.37,1.14,Advanced,1,0.85,87.76
2BHK,Chennai,D,Residential,High-End,Low,17,28,Low,0.88,1.18,Basic,1,0.54,141.65
2BHK,Delhi,B,Commercial,Affordable,Low,1,12,Medium,0.46,0.9,Basic,1,0.46,130.04
3BHK,Mumbai,B,Residential,Affordable,Medium,7,35,Medium,0.29,1.24,Basic,1,0.56,210.33
1BHK,Chennai,B,Residential,Affordable,Medium,19,41,Medium,0.14,1.05,Premium,0,0.38,53.18
1BHK,Kolkata,C,Residential,High-End,Medium,8,2,Medium,0.7,1.13,Advanced,0,0.23,79.99
1BHK,Kolkata,C,Residential,Mid-Range,Low,16,12,Medium,0.49,1.06,Basic,1,0.47,55.38
3BHK,Kolkata,B,Residential,Mid-Range,Low,13,3,Medium,0.87,1.34,Basic,1,0.35,201.58
3BHK,Kolkata,C,Residential,Mid-Range,Low,16,3,Low,0.64,0.87,Basic,1,0.44,85.67
2BHK,Bangalore,B,Industrial,Affordable,High,10,8,Medium,0.2,1.43,Basic,1,0.33,112.49
2BHK,Hyderabad,D,Commercial,Mid-Range,High,14,25,Medium,0.37,1.5,Premium,1,0.2,165.98
1BHK,Mumbai,D,Residential,Mid-Range,Medium,11,8,High,0.67,1.43,Basic,1,0.47,143.59
3BHK,Chennai,D,Residential,Affordable,High,11,16,Low,0.36,1.0,Basic,1,0.71,73.3
3BHK,Mumbai,C,Commercial,Mid-Range,Medium,20,26,Low,0.65,1.43,Basic,1,0.39,370.9
2BHK,Chennai,B,Residential,Affordable,Low,7,19,Low,0.74,0.94,Basic,1,0.9,77.68
3BHK,Mumbai,C,Residential,Affordable,High,14,4,Low,0.52,0.97,Basic,1,0.88,140.82
3BHK,Hyderabad,D,Residential,Mid-Range,Medium,20,11,High,0.72,1.16,Basic,0,0.66,167.68
2BHK,Bangalore,C,Residential,Affordable,Low,5,29,Low,0.26,1.22,Advanced,0,0.49,90.59
2BHK,Hyderabad,C,Residential,High-End,Low,13,21,Medium,0.69,0.91,Basic,1,0.71,135.28
3BHK,Mumbai,C,Residential,Mid-Range,Low,15,18,Low,0.63,0.87,Advanced,1,0.76,177.34
2BHK,Kolkata,C,Residential,Affordable,Low,13,28,Low,0.26,1.4,Premium,0,0.25,74.89
1BHK,Hyderabad,C,Residential,Affordable,Low,17,8,Medium,0.3,1.24,Advanced,1,0.78,60.38
2BHK,Hyderabad,C,Industrial,Affordable,Medium,13,22,Medium,0.45,0.81,Advanced,0,0.58,45.74
4BHK,Delhi,B,Residential,Mid-Range,High,18,33,Low,0.38,1.14,Basic,0,0.45,405.67
4BHK,Bangalore,D,Residential,High-End,High,13,24,High,0.82,0.85,Premium,1,0.58,293.12
2BHK,Mumbai,B,Residential,Mid-Range,Medium,20,46,High,0.82,1.31,Basic,1,0.48,282.43
3BHK,Mumbai,D,Commercial,Mid-Range,Medium,8,25,Medium,0.3,0.96,Advanced,1,0.68,213.12
3BHK,Delhi,B,Commercial,Affordable,Medium,17,25,Medium,0.75,0.83,Basic,0,0.26,183.94
3BHK,Chennai,B,Residential,High-End,Low,14,10,Low,0.16,1.18,Premium,1,0.55,233.94
3BHK,Mumbai,A,Residential,Mid-Range,Medium,16,36,Medium,0.73,1.02,Advanced,0,0.22,337.66
1BHK,Bangalore,A,Residential,Mid-Range,Low,15,22,Low,0.28,1.06,Basic,0,0.31,122.8
1BHK,Hyderabad,A,Commercial,Mid-Range,Medium,13,22,Medium,0.45,0.96,Basic,0,0.49,120.37
2BHK,Bangalore,B,Residential,Mid-Range,Low,2,24,High,0.57,1.31,Advanced,0,0.39,211.19
